combo,workload,policy,per_gpu_rate,ttft_s_p90,tpot_s_p90,context_queue_s_median,bridge_queue_s_median,decode_queue_s_median,context_exec_s_median,decode_exec_s_median,phase_decode_handoff_debt_pressure_mean,phase_decode_rho_hard_mean,phase_decode_infeasible_rounds,phase_context_prefill_budget_ratio_mean,phase_decode_kas_intensity_mean
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,0.25,0.6951656262390316,0.5193861614136646,0.000206708908081,0.01339817047119135,0.00016850233078,0.3621453046798706,0.31312757730484003,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,0.5,18.74447204405442,2.609599178439627,11.366267323493958,0.41937327384948725,0.01570087671279905,0.3616891503334045,0.3211291432380676,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,0.75,38.66560167167336,2.555303850475078,26.645431697368622,0.5146041512489319,0.01569867134094235,0.36095374822616577,0.3205995559692383,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,1.0,50.53187590604648,2.672699010372162,32.150670886039734,0.5314437747001648,0.015712738037109302,0.36202049255371094,0.3314390182495117,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,1.25,58.05972260795534,2.732553120718027,35.54546409845352,0.6036243438720703,0.01571726799011225,0.3610790967941284,0.33694887161254883,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,1.5,62.93185394676402,2.800265390914865,37.73871207237244,0.6627970933914185,0.0157442688941955,0.36146312952041626,0.33772385120391846,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,1.75,66.75079870363697,2.7969332221740237,39.73512190580368,0.6495888233184814,0.0157464742660522,0.3629380464553833,0.33803182840347284,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,2.0,69.52859439142048,2.795499115499357,41.27394998073578,0.6447011828422546,0.0156982541084289,0.361702024936676,0.33742666244506836,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,2.25,71.75449298322201,2.7936708888349435,42.65993922948837,0.6432949900627136,0.0157355666160583,0.361513614654541,0.3377912640571594,,,,,
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,2.5,73.55312614375725,2.7951501260589193,43.691778779029846,0.6424503326416016,0.0157020688056945,0.3616570830345154,0.3372182846069336,,,,,
