combo,combo_title,policy,policy_label,per_gpu_rate,slo_attainment_completed,goodput_req_s,throughput_completed_req_s,ttft_s_median,ttft_s_p90,ttft_s_p99,tpot_s_median,tpot_s_p90,tpot_s_p99
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,0.25,0.8072916666666667,0.4079993167582453,0.5053129061149813,0.40762927988544106,0.6951656262390316,6.249655331950634,0.032739555599012704,0.5193861614136646,5.907629413320675
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,0.5,0.19791666666666663,0.16513896507710507,0.8385646480938223,11.712201465386897,18.74447204405442,20.73678429271094,0.07321560792883645,2.609599178439627,10.766107218433163
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,0.75,0.1354166666666666,0.11756783442061244,0.8620296380069578,26.974086491856724,38.66560167167336,41.23339830213226,0.0746327481711711,2.555303850475078,10.97697593034244
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,1.0,0.13020833333333331,0.11524274189036965,0.8747420852069967,32.48376797931269,50.53187590604648,52.08404958159663,0.07426521125196706,2.672699010372162,10.974163335282345
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,1.25,0.12499999999999994,0.11175737885006154,0.8814811362378492,35.93768556509167,58.05972260795534,58.936122513515876,0.0788171211051044,2.732553120718027,10.98803678425028
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,1.5,0.1145833333333333,0.10304940787410766,0.8866941581612603,38.079056930262595,62.93185394676402,63.48982641752809,0.08115021350721895,2.800265390914865,10.660357331344848
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,1.75,0.1145833333333333,0.10316809251013195,0.8874618833621625,40.103966808877885,66.75079870363697,67.2693780922331,0.08159604944233004,2.7969332221740237,10.646766598336388
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,2.0,0.10937499999999994,0.09844082745842435,0.8882030411168673,41.64695967454463,69.52859439142048,70.25577791784892,0.08095626623178709,2.795499115499357,10.639319838630026
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,2.25,0.10937499999999994,0.09845974998877939,0.8883602169697653,43.04233763506636,71.75449298322201,72.73013698919677,0.0804892484751394,2.7936708888349435,10.626757779857133
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,2.5,0.10937499999999994,0.0985053254087081,0.8884401658028453,44.06363338464871,73.55312614375725,74.71330349468626,0.0806705582564553,2.7951501260589193,10.618141548382107
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,2.75,0.10937499999999994,0.0984313460111079,0.8880018048997032,44.9866561521776,75.06109149986878,76.36650906233118,0.0807526087762517,2.7935184221947567,10.652148996153837
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,3.0,0.10937499999999994,0.09849751762493619,0.8885383243276875,45.654177197255194,76.2177007785067,77.67229320965708,0.08141640495930785,2.795630129651787,10.630915714474384
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,3.25,0.10937499999999994,0.09848374306607656,0.8885242694802189,46.29169267928228,77.24011457385495,78.81668982529082,0.08068743287028465,2.7944486376208566,10.634563571540628
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,3.5,0.1041666666666666,0.09365570619617394,0.8884875714833019,46.837690147105604,78.12799191148952,79.81176943983883,0.08111404910739345,2.793298162007704,10.652592956926663
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,3.75,0.0989583333333333,0.08883222261501535,0.8880570989093641,47.30485366657376,78.93278205161914,80.70631556776353,0.0812944645284969,2.79477746229774,10.632446373160917
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,4.0,0.09374999999999994,0.08401654226403496,0.8880785489256375,47.72822686517611,79.61661894386634,81.46868610815145,0.0807394858083536,2.7926576881281413,10.637544322572637
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,4.25,0.09374999999999994,0.0840049344001154,0.8879795843083249,48.07877019746229,80.19250695733353,82.11788811790757,0.08071471409251291,2.796421093183259,10.616846626205358
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,fcfs,DistServe,4.5,0.0885416666666666,0.0792375005602181,0.888610148775218,48.351584104355425,80.65481173573062,82.64477707305923,0.0820452696663669,2.7910207462341834,10.623464713199052
