combo,combo_title,metric_family,metric,percentile,policy,policy_label,seed,per_gpu_rate,value,unit,window_low,window_high
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,1.0,0.1066281655803322,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,1.0,0.0987269394099712,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,1.25,1.3221225924789906,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,1.25,1.859025458805263,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,1.5,5.52898577041924,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,1.5,5.7835228983312845,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,1.75,8.434624851681292,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,1.75,8.302761488594115,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,2.0,10.597083088941872,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,2.0,10.162601978518069,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,2.25,12.155465498566628,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,2.25,11.633861616253853,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,2.5,13.42627277970314,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,2.5,12.8838149914518,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,0,2.75,14.38973442837596,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,fcfs,DistServe,1,2.75,13.782372486777604,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,1.0,0.0761917531490325,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,1.0,0.0762884421274066,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,1.25,0.080260588787496,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,1.25,0.1067974790930748,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,1.5,0.1218213094398379,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,1.5,0.2666463274508714,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,1.75,0.1311582596972584,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,1.75,4.459623873233795,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,2.0,0.33354486618191,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,2.0,5.231901937164366,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,2.25,1.287208080291748,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,2.25,8.879784434102476,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,2.5,1.9048712886869907,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,2.5,10.314210277982056,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,0,2.75,2.6005114410072565,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_median,p50,phase,PhaseServe,1,2.75,10.636275501921771,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,1.0,6.710183565691113,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,1.0,0.3317692017182707,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,1.25,15.279477368108928,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,1.25,12.279969735071065,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,1.5,21.01389625817537,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,1.5,19.61515346933156,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,1.75,25.179844481498005,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,1.75,24.765121002495285,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.0,28.458851283602417,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.0,28.63404400683939,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.25,31.1900267675519,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.25,31.71504892744123,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.5,33.31410157401115,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.5,34.32501907814293,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,0,2.75,35.212145655788476,s,1.0,2.75
opt13b_sharegpt,OPT-13B + ShareGPT,ttft,ttft_s_p90,p90,fcfs,DistServe,1,2.75,36.39539245739578,s,1.0,2.75
